numero_dpe,date_etablissement_dpe,annee_construction,periode_construction,type_batiment,etiquette_dpe,etiquette_ges,adresse_ban,code_postal_ban,nom_commune_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,surface_habitable_logement,hauteur_sous_plafond,qualite_isolation_enveloppe,qualite_isolation_murs,qualite_isolation_menuiseries,qualite_isolation_plancher_bas,deperditions_enveloppe,deperditions_murs,type_energie_principale_chauffage,conso_5_usages_par_m2_ep,emission_ges_5_usages,cout_total_5_usages,classe_inertie_batiment,zone_climatique,nombre_niveau_logement,nombre_niveau_immeuble
2675E0069144M,2026-01-11,,avant 1948,immeuble,D,D,15 Rue de la Grange Batelière 75009 Paris,75009,Paris,651704.95,6863873.93,,2.5,insuffisante,insuffisante,insuffisante,insuffisante,1913.8,332.7,Gaz naturel,167.0,45820.0,20100.5,Moyenne,H1a,,6.0
2675E0078183D,2026-01-12,1972.0,1948-1974,appartement,D,D,7 Rue Nicolas Houël 75005 Paris,75005,Paris,653161.33,6860419.59,98.5,2.5,insuffisante,insuffisante,insuffisante,insuffisante,6966.5,952.6,Réseau de Chauffage urbain,230.0,4034.5,2067.9,Moyenne,H1a,1.0,7.0
2675E0063523H,2026-01-09,1900.0,avant 1948,appartement,F,D,160 Rue de l'Université 75007 Paris,75007,Paris,649167.13,6862576.36,132.2,2.9,insuffisante,insuffisante,moyenne,,657.2,380.9,Réseau de Chauffage urbain,348.6,6570.2,4419.0,Lourde,H1a,1.0,
2375E2195840J,2023-06-29,1945.0,avant 1948,appartement,E,E,22 Avenue de l'Opéra 75001 Paris,75001,Paris,651177.38,6863106.18,19.2,3.5,insuffisante,insuffisante,insuffisante,très bonne,52.7,17.5,Fioul domestique,293.1,1074.1,619.0,Très lourde,H1a,1.0,1.0
2675E0008731X,2026-01-05,,avant 1948,appartement,E,D,16 Rue Edmond Roger 75015 Paris,75015,Paris,647859.94,6860812.24,42.0,2.7,insuffisante,insuffisante,insuffisante,très bonne,154.0,60.0,Réseau de Chauffage urbain,325.0,1928.4,1422.4,Très lourde,H1a,1.0,
2175E0913366J,2021-12-15,1947.0,avant 1948,appartement,E,C,68 Rue Gay-Lussac 75005 Paris,75005,Paris,651785.31,6860413.08,31.5,2.8,insuffisante,insuffisante,moyenne,très bonne,89.8,36.3,Électricité,313.7,390.0,911.7,Légère,H1a,1.0,
2675E0002551F,2026-01-02,,avant 1948,appartement,E,B,8 Rue des Wallons 75013 Paris,75013,Paris,653050.16,6860069.21,49.8,2.8,bonne,insuffisante,bonne,très bonne,134.8,59.4,Électricité,272.0,535.2,1528.5,Légère,H1a,1.0,
2675E0052527J,2026-01-08,,1948-1974,appartement,D,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,58.0,2.5,insuffisante,insuffisante,bonne,très bonne,17682.7,10808.1,Réseau de Chauffage urbain,190.0,1902.2,1013.7,Très lourde,H1a,1.0,10.0
2675E0075448Y,2026-01-12,,avant 1948,appartement,D,D,13 Rue Jules Simon 75015 Paris,75015,Paris,648121.12,6860260.58,50.3,2.5,insuffisante,insuffisante,moyenne,insuffisante,14388.7,6661.1,Réseau de Chauffage urbain,210.0,1870.0,963.3,Lourde,H1a,1.0,9.0
2675E0005298W,2026-01-03,1948.0,1948-1974,appartement,E,B,10 Rue Marmontel 75015 Paris,75015,Paris,648641.3,6859919.8,46.0,2.7,bonne,insuffisante,bonne,très bonne,117.8,60.2,Électricité,266.0,482.5,1396.4,Légère,H1a,1.0,
2675E0025340S,2026-01-06,,1983-1988,appartement,D,B,87 Rue Vercingétorix 75014 Paris,75014,Paris,649702.65,6859650.73,35.4,2.5,très bonne,insuffisante,insuffisante,moyenne,65.4,14.7,Électricité,219.0,299.7,936.2,Légère,H1a,1.0,
2675E0008568Q,2026-01-05,1800.0,avant 1948,appartement,D,B,Passage du Désir 75010 Paris,75010,Paris,652800.08,6863897.04,82.4,2.8,moyenne,insuffisante,bonne,,176.4,42.2,Électricité,200.0,644.8,1830.0,Lourde,H1a,1.0,
2675E0006382O,2026-01-04,,avant 1948,appartement,F,C,34 Rue de la Montagne Sainte-Geneviève 75005 Paris,75005,Paris,652185.96,6861086.18,26.1,2.6,insuffisante,insuffisante,insuffisante,très bonne,106.7,41.9,Électricité,432.0,451.2,1292.5,Légère,H1a,1.0,
2575E0699509G,2025-03-01,1945.0,avant 1948,appartement,D,B,204 Rue de Belleville 75020 Paris,75020,Paris,655619.19,6864073.68,23.4,2.5,insuffisante,insuffisante,moyenne,très bonne,53.0,27.9,Électricité,243.6,210.6,727.0,Légère,H1a,1.0,1.0
2675E0033611V,2026-01-07,1948.0,1948-1974,appartement,F,C,59 Rue Nollet 75017 Paris,75017,Paris,650203.53,6865449.02,45.5,3.0,insuffisante,insuffisante,bonne,bonne,174.5,82.4,Électricité,385.0,681.8,1938.0,Moyenne,H1a,1.0,1.0
2575E1200385S,2025-04-08,1969.0,1948-1974,appartement,C,C,9 Rue des Périchaux 75015 Paris,75015,Paris,648436.51,6859170.37,58.0,2.5,insuffisante,insuffisante,bonne,insuffisante,33053.9,13690.3,Réseau de Chauffage urbain,176.7,1342.7,946.3,Moyenne,H1a,1.0,16.0
2675E0018115V,2026-01-05,,avant 1948,appartement,E,E,73 Rue de la Convention 75015 Paris,75015,Paris,647499.39,6860532.28,37.0,2.5,insuffisante,insuffisante,très bonne,insuffisante,16185.0,9298.7,Réseau de Chauffage urbain,298.0,1943.1,1004.7,Lourde,H1a,1.0,7.0
2675E0059665X,2026-01-09,,avant 1948,appartement,D,B,13 Rue Saint-Nicolas 75012 Paris,75012,Paris,654092.69,6861405.68,20.5,2.6,insuffisante,insuffisante,bonne,très bonne,50.0,17.2,Électricité,262.0,209.3,694.3,Légère,H1a,1.0,
2675E0076680I,2026-01-12,1955.0,1948-1974,appartement,E,D,59 Rue de la Colonie 75013 Paris,75013,Paris,652309.04,6858411.66,44.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,3322.9,1602.3,Réseau de Chauffage urbain,279.0,2117.7,1128.9,Légère,H1a,1.0,5.0
2175E1008191M,2021-12-27,1780.0,avant 1948,appartement,E,C,37 Rue Etienne Marcel 75001 Paris,75001,Paris,652026.58,6862914.04,19.4,2.5,moyenne,insuffisante,insuffisante,,59.5,25.7,Électricité,345.0,260.9,657.0,,H1a,1.0,
2675E0024640U,2026-01-06,,1948-1974,appartement,E,E,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,41.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,285.0,2050.6,1067.1,Très lourde,H1a,1.0,10.0
2675E0000681H,2026-01-01,,avant 1948,appartement,E,D,62 Rue Regnault 75013 Paris,75013,Paris,654016.65,6858387.41,38.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,7234.0,3382.0,Réseau de Chauffage urbain,281.0,1446.0,1150.1,Lourde,H1a,1.0,6.0
2375E0845237C,2023-03-10,1945.0,avant 1948,appartement,D,B,3 Rue de Wattignies 75012 Paris,75012,Paris,655381.87,6859829.96,12.8,2.6,moyenne,insuffisante,moyenne,très bonne,35.2,14.3,Électricité,324.5,153.6,456.0,Moyenne,H1a,1.0,1.0
2675E0035436A,2026-01-07,,avant 1948,appartement,D,B,9 Rue du Moulin des Prés 75013 Paris,75013,Paris,652494.9,6859032.49,19.9,3.3,insuffisante,insuffisante,bonne,très bonne,57.9,25.4,Électricité,296.0,227.8,746.3,Moyenne,H1a,1.0,
2675E0016563D,2026-01-05,,avant 1948,appartement,D,D,79 Rue de la Convention 75015 Paris,75015,Paris,647538.125,6860505.0,47.1,2.5,insuffisante,insuffisante,insuffisante,,116.9,70.7,Gaz naturel,221.7,2274.0,1218.0,Très lourde,H1a,1.0,
2675E0077791B,2026-01-12,,1948-1974,appartement,D,D,48 Rue de Montreuil 75011 Paris,75011,Paris,655140.25,6861320.75,63.3,2.5,insuffisante,insuffisante,moyenne,très bonne,110.3,23.7,Gaz naturel,157.0,1966.7,1039.2,Lourde,H1a,1.0,
2675E0050924S,2026-01-08,,avant 1948,appartement,C,C,60 Rue des Dames 75017 Paris,75017,Paris,650179.05,6865067.14,52.3,2.7,insuffisante,insuffisante,bonne,très bonne,70.0,19.0,Gaz naturel,116.0,1230.1,826.3,Moyenne,H1a,1.0,
2675E0022002I,2026-01-06,,avant 1948,appartement,D,D,73 Rue de la Convention 75015 Paris,75015,Paris,647499.39,6860532.28,50.0,2.5,insuffisante,insuffisante,très bonne,insuffisante,6789.0,3906.4,Réseau de Chauffage urbain,240.0,2082.8,1099.4,Moyenne,H1a,1.0,8.0
2675E0039250S,2026-01-07,,2013-2021,immeuble,B,B,1 Rue Cantagrel 75013 Paris,75013,Paris,654329.1,6858635.69,,2.5,très bonne,très bonne,très bonne,très bonne,718.3,180.9,Réseau de Chauffage urbain,57.0,9588.8,5677.4,Très lourde,H1a,,8.0
