numero_dpe,date_etablissement_dpe,annee_construction,periode_construction,type_batiment,etiquette_dpe,etiquette_ges,adresse_ban,code_postal_ban,nom_commune_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,surface_habitable_logement,hauteur_sous_plafond,qualite_isolation_enveloppe,qualite_isolation_murs,qualite_isolation_menuiseries,qualite_isolation_plancher_bas,deperditions_enveloppe,deperditions_murs,type_energie_principale_chauffage,conso_5_usages_par_m2_ep,emission_ges_5_usages,cout_total_5_usages,classe_inertie_batiment,zone_climatique,nombre_niveau_logement,nombre_niveau_immeuble
2675E0004400I,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,56.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,288.0,2319.7,1649.4,Lourde,H1a,1.0,6.0
2675E0070236M,2026-01-12,,avant 1948,appartement,D,B,30 Rue Jean Maridor 75015 Paris,75015,Paris,647662.21,6860063.55,32.6,2.7,insuffisante,insuffisante,bonne,très bonne,66.0,12.0,Électricité,250.0,313.5,971.2,Légère,H1a,1.0,
2675E0018075H,2026-01-05,,avant 1948,appartement,E,E,73 Rue de la Convention 75015 Paris,75015,Paris,647499.39,6860532.28,37.5,2.5,insuffisante,insuffisante,très bonne,insuffisante,16185.0,9298.7,Réseau de Chauffage urbain,298.0,1964.7,1015.9,Lourde,H1a,1.0,7.0
2675E0036685B,2026-01-07,,avant 1948,appartement,G,C,47 Rue Buffon 75005 Paris,75005,Paris,652948.79,6860394.95,63.9,3.2,insuffisante,insuffisante,moyenne,très bonne,378.9,183.6,Électricité,539.0,1412.7,3710.1,Moyenne,H1a,1.0,
2675E0058489R,2026-01-09,,avant 1948,appartement,E,C,107 Rue Lemercier 75017 Paris,75017,Paris,649981.59,6865750.4,54.6,2.6,insuffisante,insuffisante,moyenne,très bonne,194.6,91.8,Électricité,319.0,701.2,1931.9,Légère,H1a,1.0,
2675E0075564K,2026-01-12,,avant 1948,appartement,D,D,13 Rue Jules Simon 75015 Paris,75015,Paris,648121.12,6860260.58,17.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,14388.7,6661.1,Réseau de Chauffage urbain,255.0,771.3,394.0,Lourde,H1a,1.0,9.0
2675E0068028O,2026-01-11,,avant 1948,appartement,E,C,61 Rue Orfila 75020 Paris,75020,Paris,655874.81,6863206.6,47.2,2.5,insuffisante,insuffisante,moyenne,insuffisante,164.6,69.8,Électricité,318.0,600.1,1679.5,Moyenne,H1a,1.0,
2675E0070314M,2026-01-12,,avant 1948,appartement,E,E,113 Rue du Faubourg Saint-Antoine 75011 Paris,75011,Paris,654256.08,6861428.52,117.5,2.5,insuffisante,insuffisante,insuffisante,très bonne,396.2,188.3,Gaz naturel,277.0,7187.1,3378.5,Légère,H1a,2.0,
2675E0041432Q,2026-01-07,,avant 1948,appartement,F,F,10 Rue Stanislas 75006 Paris,75006,Paris,650704.98,6860646.01,72.5,2.9,insuffisante,insuffisante,insuffisante,très bonne,338.9,142.1,Gaz naturel,369.0,5922.6,2799.7,Moyenne,H1a,1.0,
2675E0068406C,2026-01-11,,avant 1948,appartement,D,D,20 Rue Sarrette 75014 Paris,75014,Paris,650813.72,6858731.39,47.1,2.6,insuffisante,insuffisante,moyenne,très bonne,146.9,69.7,Gaz naturel,217.0,2220.7,1199.9,Moyenne,H1a,1.0,
2675E0081724I,2026-01-12,1890.0,avant 1948,appartement,C,C,150 Rue de l'Université 75007 Paris,75007,Paris,649272.85,6862575.33,180.4,3.0,insuffisante,insuffisante,bonne,,366.8,153.3,Réseau de Chauffage urbain,151.6,4667.8,2621.0,Lourde,H1a,1.0,
2675E0071667N,2026-01-12,1945.0,avant 1948,appartement,C,C,47 Rue de Nantes 75019 Paris,75019,PARIS,654564.92,6866044.56,48.0,2.6,bonne,insuffisante,très bonne,insuffisante,1187.4,189.5,Réseau de Chauffage urbain,118.9,930.1,579.4,Moyenne,H1a,1.0,7.0
2675E0018453V,2026-01-05,,avant 1948,appartement,E,E,193 Boulevard Brune 75014 Paris,75014,Paris,650405.67,6858388.93,97.9,2.8,moyenne,insuffisante,moyenne,très bonne,251.2,106.6,Gaz naturel,254.0,5436.3,2367.5,Légère,H1a,1.0,
2675E0028669T,2026-01-06,,avant 1948,appartement,E,C,137 Rue du Faubourg du Temple 75010 Paris,75010,Paris,654263.9,6863729.61,22.6,2.5,moyenne,insuffisante,moyenne,très bonne,101.7,35.9,Électricité,365.0,327.2,980.9,Très lourde,H1a,1.0,
2675E0006607F,2026-01-04,,avant 1948,appartement,D,B,25 Rue Liancourt 75014 Paris,75014,Paris,650591.55,6859531.22,37.2,2.6,insuffisante,insuffisante,bonne,très bonne,125.2,52.6,Électricité,235.0,357.8,1030.8,Moyenne,H1a,1.0,
2375E2914234X,2023-09-01,1945.0,avant 1948,appartement,G,C,30 Rue Eugène Süe 75018 Paris,75018,Paris,652205.96,6865909.32,31.4,2.6,insuffisante,insuffisante,bonne,très bonne,147.8,68.0,Électricité,494.1,596.8,1380.0,Légère,H1a,1.0,1.0
2675E0045115H,2026-01-08,,1989-2000,immeuble,E,B,16 Rue du Buisson Saint-Louis 75010 Paris,75010,Paris,654065.01,6863781.45,,2.4,insuffisante,moyenne,insuffisante,très bonne,1234.9,117.4,Électricité,273.0,6286.3,21531.5,Légère,H1a,,3.0
2675E0004285X,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,28.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,319.0,1188.9,988.5,Lourde,H1a,1.0,6.0
2575E1200549A,2025-04-08,1969.0,1948-1974,appartement,C,C,9 Rue des Périchaux 75015 Paris,75015,Paris,648436.51,6859170.37,58.0,2.5,insuffisante,insuffisante,bonne,insuffisante,33053.9,13690.3,Réseau de Chauffage urbain,176.7,1342.7,946.3,Moyenne,H1a,1.0,16.0
2675E0026733H,2026-01-06,,avant 1948,appartement,G,C,89 Rue Saint-Antoine 75004 Paris,75004,Paris,653211.86,6861814.27,26.1,2.5,bonne,insuffisante,bonne,très bonne,138.7,43.3,Électricité,526.0,548.9,1544.8,Légère,H1a,1.0,
2675E0082035H,2026-01-12,,avant 1948,appartement,D,B,6 Rue Goethe 75016 Paris,75016,Paris,648524.45,6863134.26,83.0,2.5,très bonne,bonne,bonne,très bonne,169.2,30.5,Électricité,195.0,640.3,1799.4,Légère,H1a,1.0,
2675E0045078W,2026-01-08,,avant 1948,appartement,E,E,21 Rue Oudry 75013 Paris,75013,Paris,652724.79,6859837.35,53.6,2.8,insuffisante,insuffisante,insuffisante,insuffisante,192.3,54.8,Gaz naturel,315.0,3729.1,1836.8,Légère,H1a,1.0,
2675E0009078G,2026-01-05,,avant 1948,appartement,F,F,77 Rue de Patay 75013 Paris,75013,Paris,653962.46,6858683.62,32.7,2.6,insuffisante,insuffisante,moyenne,très bonne,123.3,67.6,Gaz naturel,355.0,2546.2,1326.8,Moyenne,H1a,1.0,
2675E0070412G,2026-01-12,,avant 1948,appartement,C,C,104 Rue des Dames 75017 Paris,75017,Paris,649898.32,6864957.92,36.5,2.5,insuffisante,insuffisante,moyenne,très bonne,62.6,25.7,Gaz naturel,140.0,1070.4,696.3,Moyenne,H1a,1.0,
2675E0066234O,2026-01-10,,avant 1948,appartement,E,E,7 Rue Antoine Vollon 75012 Paris,75012,Paris,654266.77,6861351.49,64.1,2.8,insuffisante,insuffisante,insuffisante,insuffisante,224.0,89.2,Gaz naturel,304.0,4303.3,2084.7,Moyenne,H1a,1.0,
2675E0023766E,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,58.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,278.0,2820.5,1470.1,Très lourde,H1a,1.0,10.0
2675E0061357Z,2026-01-09,1900.0,avant 1948,appartement,D,B,34 Rue des Maronites 75020 Paris,75020,Paris,654849.44,6863328.7,75.0,2.6,moyenne,insuffisante,insuffisante,très bonne,189.9,79.1,Électricité,239.0,718.7,1985.2,Légère,H1a,1.0,
2675E0044379Z,2026-01-08,1908.0,avant 1948,appartement,F,C,11 Rue Quinault 75015 Paris,75015,Paris,648517.24,6860687.72,49.6,2.8,insuffisante,insuffisante,bonne,insuffisante,175.1,71.2,Électricité,364.0,725.5,1997.3,Lourde,H1a,1.0,
2675E0045376I,2026-01-08,1935.0,avant 1948,appartement,F,F,11 Rue Henry de Bournazel 75014 Paris,75014,Paris,649621.55,6858536.69,57.0,2.7,insuffisante,insuffisante,moyenne,très bonne,227.2,112.1,Gaz naturel,391.0,4788.2,2108.8,Moyenne,H1a,1.0,
2275E0107132K,2022-01-14,1945.0,avant 1948,appartement,F,C,11 Rue Saint-Luc 75018 Paris,75018,Paris,652635.68,6865338.88,29.8,2.5,insuffisante,insuffisante,moyenne,très bonne,131.0,79.4,Électricité,427.0,477.4,1152.0,Lourde,H1a,1.0,1.0
2675E0038218A,2026-01-07,,avant 1948,appartement,E,D,38 Rue de Torcy 75018 Paris,75018,Paris,653215.77,6865894.28,20.6,2.5,insuffisante,insuffisante,moyenne,très bonne,54.6,29.7,Gaz naturel,308.0,897.6,776.9,Moyenne,H1a,1.0,
2575E0555238J,2025-02-18,1945.0,avant 1948,appartement,F,C,156 Rue de Charonne 75011 Paris,75011,Paris,655286.56,6861898.96,27.1,2.6,insuffisante,insuffisante,très bonne,très bonne,105.1,46.5,Électricité,379.1,406.4,1185.0,Moyenne,H1a,1.0,1.0
2675E0048113P,2026-01-08,,avant 1948,appartement,C,C,5 Rue René Boulanger 75010 Paris,75010,Paris,652917.94,6863417.03,76.1,2.6,très bonne,insuffisante,moyenne,très bonne,103.0,21.6,Gaz naturel,123.0,2020.5,1132.3,Légère,H1a,1.0,
2675E0004174Q,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,27.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,321.0,1148.4,964.5,Lourde,H1a,1.0,6.0
2675E0035261H,2026-01-07,,2013-2021,appartement,C,C,60 Avenue Parmentier 75011 Paris,75011,Paris,654268.27,6862694.31,51.5,2.6,très bonne,très bonne,très bonne,très bonne,2949.3,498.0,Gaz naturel,95.0,960.1,483.8,Légère,H1a,1.0,10.0
2675E0052425L,2026-01-08,,1948-1974,appartement,D,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,72.0,2.5,insuffisante,insuffisante,bonne,très bonne,17682.7,10808.1,Réseau de Chauffage urbain,184.0,2283.8,1220.3,Très lourde,H1a,1.0,10.0
2675E0073258S,2026-01-12,,avant 1948,appartement,F,C,181 Rue des Pyrénées 75020 Paris,75020,Paris,656007.97,6862474.23,31.0,2.8,insuffisante,insuffisante,moyenne,très bonne,123.5,57.5,Électricité,390.0,482.4,1375.9,Légère,H1a,1.0,
